Título,Nota,Gêneros,Diretor
10-35,0.0,Drama,Yaser Barzegar
In The Blood (Hunters Video 1040),0.0,,Unknown
1043,10.0,,Ignazio Fabio Mazzola
Time of Death,5.7,"TV Movie, Thriller",Frédérik D'Amours
10:45,10.0,,Giorgi Gogichaishvili
"1,048",0.0,,Juho Fossi
1050 Toronto,0.0,,Unknown
Wampiry Warszawy. Tajemnica taksówki nr 1051,0.0,,Wiktor Biegański
The Mitchum Mystery Twins: Episode 1053,0.0,,Aidan McDaniel
Nr. 105555,0.0,Documentary,Andrejs Verhoustinskis
1056 Metres,0.0,,Edwin Ho
"10,579 Km: A Queer Journey from Damascus to Vancouver",0.0,Documentary,Jen Sungshine
10:59 PM,0.0,,Kris Salvi
iHeartRadio Jingle Ball 2023,10.0,"Music, TV Movie, Documentary",Sam Wrench
The Art of 10^64 -Understanding Vastness-,0.0,,Unknown
1066,0.0,,Robin Jacob
Badinerie z II Suity orkiestrowej h-moll BWV 1067,0.0,"Animation, Music",Maciej Ćwiek
Cinématon n°1068 : Harun Farocki,0.0,,Gérard Courant
Derek 10-70,0.0,Documentary,JoAnn Elam
Malazgirt 1071,4.4,"War, History, Adventure",Bilal Kalyoncu
Wish 107.5: 7th Wish Music Awards,0.0,,Unknown
Bach BWV 1079 Musical Offering Jordi Savall Concert des Nations,0.0,Music,Unknown
Khiladi 1080,0.0,"Action, Crime, Thriller",Kabir Sadanand
The time I was on Dennis Miller Live 10-8-1999,0.0,,Jack Bensinger
Cinématon n°1083: Sergueï Paradjanov,0.0,Documentary,Gérard Courant
Mother Of 1084,7.7,Drama,Govind Nihalani
Cinématon n°1085 : Mike Kuchar,0.0,,Gérard Courant
"Osvaldo Aranha, 1086: Um dia na Lancheria do Parque",10.0,Documentary,Guilherme Petry
蕭亞軒1087慶功演唱會,0.0,,徐德立
Gang Rape,6.0,Crime,Tadashi Kyouya
King George of Saxony in Chemnitz on 10.9.1902,4.0,Documentary,Guido Seeber
"BELOVED • 10.9.21 • Winston-Salem, NC",0.0,,Unknown
0—10946,0.0,,Matthew Carlson
1095,0.0,,Unknown
"10,9,8... God Is Great",8.0,,Unknown
1100,0.0,Drama,Diego M. Castro
11:01,0.0,,Jimi Drosinos
敏感マンコにどろどろ白濁液注入,0.0,Romance,Unknown
1104 Sutton Road,0.0,Documentary,Jack Tilles
1105,0.0,,Tori Mosser
Del Amitri – Every Night Has A Dawn - Barrowland 11.06.22,0.0,,Unknown
Dōzo 1107-ban Kitahara Kumiko yasashiku shite ne,0.0,,Kazuo Kurata
11:08,0.0,Animation,Sae Okamoto
11’09”01—September 11,6.5,Drama,Samira Makhmalbaf
"11,103",0.0,Documentary,Jeannette Ifurung
11:11,3.5,"Drama, Thriller",Karim Abouzeid
Room 1112,6.0,Documentary,Jonas Selberg Augustsén
Nation and Destiny 11-13: Hong Yong Ja,0.0,"Drama, History",Unknown
11:14,6.798,"Thriller, Comedy, Crime, Mystery, Drama",Greg Marcks
1116,5.0,,Unknown
I Am 11-17,0.0,War,Viktor Shcheglov
1118,0.0,,Unknown
11-19,0.0,,Palesa Nomanzi Shongwe
11.20 a.m.,0.0,Drama,Dimitrios Nakos
11-22-63: The Day the Nation Cried,0.0,"History, Documentary",Bruce Halford
11:23 - 09:59 (About Fear),3.5,Horror,Stefan Jäger
11247,0.0,Drama,Gabriel Mamruth
11.25 The Day He Chose His Own Fate,5.2,Drama,Kōji Wakamatsu
1126 Dewey Ave. Apt. 207,0.0,Mystery,John C. Hecker
Puscifer: Conditions Of My Parole - Live In Charlotte NC 11.27.2011,0.0,,Unknown
Diary of a Sergeant,6.0,Documentary,Joseph M. Newman
11:30,0.0,Drama,Nicolae Negara
11:32 P.M.,0.0,,Unknown
11:33,0.0,,Kate Maveau
1134,0.0,Thriller,Ssharadh Chandra Tadimeti
Memory 1136,0.0,,Myron Emery
1:13:7 Ek Tera Saath,7.0,Horror,Arshad Siddiqui
THX 1138,6.443,"Science Fiction, Action, Drama",George Lucas
AND-1139,0.0,,Parker Alexander Meyers
11:40,6.0,Drama,Claudia Ruiz
"Sunday 6th April, 11:42 a.m.",0.0,,Flatform
Alone through Iran: 1144 miles of trust,7.0,Documentary,André Larsson
Gece 11.45,5.0,Drama,Ercan Durmuş
End of the Line,5.9,"Horror, Thriller",Maurice Devereaux
11:47,7.0,Drama,Kristofer Medina
11:50,0.0,,Unknown
"Adolf Winkelmann, Kassel, 9.12.1967, 11.54h",3.0,,Adolf Winkelmann
11:55,4.5,"Drama, Crime",Ari Issler
CHALLENGER 1157,0.0,"Thriller, Drama, Comedy",Lukas Neau
11:59,5.4,"Mystery, Thriller",Jamin Winans
Abadan 1160,6.0,"Drama, War, Thriller",Mehrdad Khoshbakht
Fighting for the Motherland 1162,5.8,"Action, History",Zhang Zhe
Kungamord 1167,0.0,Documentary,Thom Britten-Austin
Les Colocs : Festival d'été de Québec 11-7-1999 - Le dernier show,10.0,,Unknown
Haunted Road 2,6.909,Horror,Ryon Lee
Cloverfield,6.691,"Action, Thriller, Science Fiction",Matt Reeves
Fear in the City (1181 Days Later or Smell of Rats),0.0,Drama,Davorin Marc
1186 to Omaha,0.0,Documentary,Unknown
1190,0.0,Music,Andzej Gavriss
Fear in the City (1181 Days Later or Smell of Rats),0.0,Drama,Davorin Marc
JMMEEL 1192 AFR 4 07212016 Legalized,0.0,,Unknown
1194D,0.0,Animation,Raven Kwok
11-95,0.0,Drama,Paul Lindsay
Local 1196: A Steelworkers Strike,0.0,Documentary,Samuel George
Fear Street: 1994,6.7,"Horror, Mystery",Leigh Janiak
12:00,6.0,Horror,Mariana Tzaschel
12:01,6.265,"Science Fiction, Thriller, TV Movie",Jack Sholder
NieR: Theatrical Orchestra 12020,8.0,Music,Takeshi Oui
12:06 Rumah Kucing,1.0,"Drama, Horror",Chiska Doppert
OP.1207-X,0.0,,Luciana Julião
12:08 East of Bucharest,6.9,"Comedy, Drama",Corneliu Porumboiu
1210,5.8,Drama,Arseny Gonchukov
VOX on 12.11,0.0,,Shin Harada
1212. The Battle of Las Navas de Tolosa,5.75,"Documentary, History, War",Santiago Mazarro
the GazettE LIVE TOUR 12-13 [DIVISION] FINAL MELT LIVE AT 03.10 SAITAMA SUPER ARENA,0.0,Music,Unknown
1214: We Fear No Cowards,1.0,,Hernán Hurtado
12:15,0.0,Animation,Wei-fan Wang
12:16,0.0,Drama,Tito Román Rivera
Dances by Ilmington Teams in the Grounds of Peter De Montfort's House 1220 AD. Fiddler Sam Bennett,0.0,,Unknown
12:21,0.0,Animation,Sarah Dubiel
Acapulco 12-22,4.8,,Aldo Monti
12:23,0.0,Thriller,Bryce Mysona
12-24-1 FOR $500,3.0,,Raphaël Ouellet
WRESTLE-1 TOUR 2018 SHINING WINTER 12.26 Korakuen Hall,0.0,,Unknown
"Phish - 12-28-2022 - Madison Square Garden, New York NY Webcast",0.0,,Unknown
"Phish - 12-29-2022 - Madison Square Garden, New York NY",0.0,,Unknown
12-30,0.0,"Drama, Science Fiction, Mystery, Thriller",Weilin Zhang
Curling Happiness,8.5,"Thriller, Mystery, Horror, Drama",Xu Xiaolu
1232 KMs,8.8,"Documentary, Drama",Vinod Kapri
1234,5.4,"Comedy, Music, Romance, Drama",Giles Borg
"Kilometer 123,5",0.0,,Ruth Mader
STARRCAST I: 1-2-360 Degrees of The nWo With Hall & Nash,0.0,,Unknown
november 11 sat 12:40pm,0.0,,even
"12,41 Kilometres",0.0,Documentary,Karolina Breguła
1242: Gateway to the West,0.0,"Action, History",Péter Soós
12:46,0.0,Action,Frank E. Jackson Jr.
1247: La Carretera Austral,0.0,Documentary,Jimena Sánchez
Shift 12-48,6.0,Drama,Fatih Özdemir
Inter-City 1250,0.0,Documentary,C. David Lochner
"12.511, Case Rosendo Radilla: An Open Wound from the Dirty War in Mexico",5.0,,Unknown
Verdade 12.528,0.0,Documentary,Paula Sacchetta
"Mozart Symphonies Vol. II - Nos. 1,25,31,36,38 and ""Eine Kleine Nachtmusik""",8.2,Music,Hugo Käch
A Story About Breadmaking in the Year 1255 A.D.,0.0,Animation,Robert Verrall
12:56,0.0,,Alex Mitchell
PSV Garuda Vega,6.3,"Comedy, Action, Thriller",Praveen Sattaru
12:63AM,0.0,,Mark Chee
Littleboy 12725,5.5,Documentary,Kim Ji-gon
1275 Days,6.0,"Documentary, Crime",Katie Green
LDN 51.5072N 0.1276W,0.0,,Wen Pey Lim
1278: The Battle for Europe,0.0,,Fritz Kalteis
Pop. 1280,0.0,Crime,Unknown
New Deal - 1281,0.0,Documentary,Unknown
1286,0.0,Drama,Unknown
-1287,0.0,Documentary,Ian Thomas Ash
13:00,0.0,"Horror, Thriller",Eric Bielakiewicz
Loser 1301,0.0,,Tori Mosser
Apartment 1303,4.9,Horror,Ataru Oikawa
1304KM: Girl From Sumatra,0.0,Drama,Han Loong Lim
1305,0.0,,Augustin Gimel
projet1-1307,0.0,Science Fiction,malou alt-CZRL
130919 • A Portrait of Marina Abramovic,0.0,,Matthu Placek
"Harlej – 13.10.2018 – Praha – Lucerna, velký sál",0.0,Music,Unknown
"On April 22, 2023, from 13:05 to 13:11, Nothing Happened in Irpin",0.0,Documentary,Ania Na
1312,0.0,Documentary,Mateo Vargas
13:13,2.0,"Horror, Thriller",Otávio Gaudencio
13:14: The Challenge of Helping,5.7,"Documentary, History, TV Movie",Santiago Fábregas
Death Row Girls,5.0,"Action, Thriller",Sadaaki Haginiwa
If You Were Me 4,5.0,Drama,Jeon Gye-soo
1319th Day,0.0,Drama,Domen Martinčič
1320 video - Texas Streets 2013,0.0,"Documentary, Action",Unknown
Trapped in the Closet: Chapters 13-22,6.4,"Music, Crime, Comedy",R. Kelly
1325 Kilometers 227 Days,8.0,"Animation, Documentary, Comedy, Romance",Vítor Teixeira
#132642667,6.0,"Science Fiction, Drama",Daniel Barrios
The Evil of 1327,0.0,Horror,Todd Sheets
13-30 Kaba Church,0.0,"Action, Drama",Unknown
Clubman 13.3.13,0.0,,Ines Mongil-Echandi
13:33,7.5,"Drama, Science Fiction",Salvatore Pugliano
1334,4.8,"Music, Horror",Nico B.
"1336 jours, des hauts, débats, mais debout",0.0,,Claude Hirsch
Project E.1337: ALPHA,3.0,Science Fiction,Jason L. Wang
"How to Fly the B-17 (Part 3, Emergency Operations)",5.5,Documentary,Unknown
1341 Frames of Love and War,6.7,Documentary,Ran Tal
Passport 13.444,4.0,Comedy,Léon Mathot
100 Years War: Crecy 1346,6.5,"Documentary, History, War",Unknown
The Beetle KFZ-1348,5.0,Documentary,Gabriel Mascaro
1349 - Hellfest 2023,8.0,Music,Gautier & Leduc
File Box,0.0,"Horror, Mystery, Thriller",Timothy Fielding
100 Years War: Poitiers 1356,0.0,"Documentary, History, War",Unknown
13:59,0.0,"Fantasy, Drama",Mario Feil
Afghanistan 1362: Memories of a Journey,0.0,Documentary,Volker Koepp
"A.D. 1363, the End of Chivalry",6.5,,Jake Mahaffy
R.C.M.P. File 1365: The Connor Case,0.0,"Drama, Documentary, Crime",Unknown
"Psychics II : Janet Jelet / 1371 North Milwaukee Ave, Chicago",0.0,Documentary,Michael Blum
Tehran 1380,0.0,Documentary,Solmaz Shahbazi
Jörgen Raymann: Nummer 13866: Te gek om los te lopen,0.0,,Unknown
1395 Days without Red,0.0,Drama,Anri Sala
Nowrooz 1396 Ceremony,0.0,,Xarovan Eskandari
99 Francs,6.632,"Drama, Comedy",Jan Kounen
1400,0.0,Drama,Derrick Lui
1401 We Are in a Hurry to be Human,0.0,Documentary,Roxana Samadi
1402 Pork n’ Bean Blue,0.0,Documentary,Juan Luis Matos
Lady Gaga - SXSW Festival - 14-03-2014,10.0,,Unknown
14042020,0.0,,Patrick Sheard
14.05 Always a Kind of Onward,0.0,Drama,Guido F.G. Jeurissen
Flood,0.0,Documentary,Almourad Aldeeb
1408,6.689,"Horror, Mystery",Mikael Håfström
1409. Afera na zamku Bartenstein,3.0,,Rafał Buks
1410,0.0,"Comedy, History, Drama",Damian Kocur
Les Fatals Picards – 14.11.14,8.0,Music,Julien Bloch
"Joan Manuel Serrat - El Vicio de Cantar: 1965-2022 - Madrid, 14-12-2022 en el WiZink Center",4.5,Music,Unknown
Secret File 1413,2.0,Crime,Alfred Rode
Bardzo krótki strajk. 14-15 grudnia 1981 roku,0.0,"Documentary, History",Grzegorz Królikiewicz
"Over There, 1914-18",6.0,Documentary,Jean Aurel
1420,0.0,Drama,Arwa Salem
1421: The Year China Discovered the World,4.5,Documentary,Unknown
1422,0.0,"Drama, Thriller",Ashfaqur Rahman Abir
Momentum 142310,0.0,Animation,Manuel Knapp
"1,426",10.0,"Comedy, Action, Science Fiction",Omri Elkayam
1428,5.6,Documentary,Du Haibin
Selda 1430,0.0,,Unknown
1432,0.0,Drama,Alix Poisson
radio_int 14.37,0.0,,Lia
1440 and Counting,0.0,,Tony Gapastione
About the Art of Love or a Film with 14441 Frames,7.0,Documentary,Karpo Aćimović Godina
1446: An Eternal Minute,0.0,Comedy,Takeshi Sone
1448 Love Among Us,4.8,Romance,Arunsak Ongla-or
Conquest 1453,6.099,"Adventure, Drama, Action, War",Faruk Aksoy
"14,58 euros",0.0,Drama,Apolline Dronet
Albrecht Dürer 1471 - 1528,0.0,Documentary,Gerhard Jentsch
Fastentuch 1472,0.0,Documentary,Bernhard Sallmann
"14,74 oder Das Streben nach Mittelmäßigkeit",5.5,Drama,Antoine Dengler
Stephen the Great: Vaslui 1475,8.2,"Action, Drama, History, War",Mircea Drăgan
Radio Pirates,6.167,Drama,Unknown
高橋みなみ卒業“148.5cmの見た夢”in 横浜スタジアム,8.0,Music,Unknown
1489,8.0,Documentary,Shoghakat Vardanyan
Lunch on the Eiffel Tower,0.0,Documentary,Unknown
1492,0.0,Documentary,Graziano Conversano
"26'1.1499"" For A String Player",0.0,,Jud Yalkut
1500,0.0,,Ricardo Branco
Crash: The Mystery of Flight 1501,6.0,"Drama, Mystery, TV Movie",Philip Saville
BAP - Rockpalast: Grugahalle,0.0,Music,Unknown
Marathon Day: Boston 15-04-2013,6.0,Documentary,Amel Tresnjic
15:05,0.0,Documentary,Synne T. Bull
Woodkid - Live at Montreux 15.07.2016,0.0,Music,Julian Nicole-Kay
1509: Operación Victoria,0.0,"Documentary, Crime, History",Judith Vélez
1510. Sogno su carta impressa con video,0.0,,Ilaria Pezone
Rembrandt. Dedication LK 15:11-32,0.0,Documentary,Andrey Krechetov
Vetusta Morla 15151,0.0,Music,Unknown
15:16:17,0.0,,Raymond Zrike
The 15:17 to Paris,5.419,"Drama, Thriller",Clint Eastwood
Strasbourg 1518,5.68,Music,Jonathan Glazer
Shadow of the Sword,5.72,"Adventure, Action",Simon Aeby
1521: The Quest for Love and Freedom,2.0,"Adventure, Drama, History",Michael Barder
"Ai Weiwei's Appeal ¥15,220,910.50",0.0,Documentary,Ai Weiwei
1525: Anagenisis,0.0,,Christos Gkenoudis
Albrecht Dürer 1471 - 1528,0.0,Documentary,Gerhard Jentsch
1531: la historia que aún no termina,0.0,,Unknown
British Paramount News No. 1532,0.0,Documentary,Unknown
1533 Km. to Home,0.0,Drama,Laureano Clavero
15.35: Spoor 1,7.0,Drama,Tim Oliehoek
1536 Units,0.0,,Jan Rehwinkel
1538°C – The Iron Human,0.0,Documentary,Lucas Bretas
The Great Indian Wars: 1540-1890,8.0,"Documentary, War, History",Unknown
Cinématon n°1542 : Tonino de Bernardi,0.0,,Gérard Courant
Spaceport COPERNICUS 1543,0.0,"Science Fiction, Drama, History",Unknown
15458.00khz,0.0,,Yoshihide Sodeoka
Samurai Commando Mission 1549,5.2,"Action, Science Fiction",Masaaki Tezuka
"Eger, 1552",0.0,"Adventure, History",Attila Szász
elesyn 15.625,0.0,,Billy Roisz
San Carlo Borromeo. Giornale di viaggio 1565-1584,0.0,,Fabiola Giancotti
"Patent 1,571,148",2.0,,Kevin Jerome Everson
Kenau,6.4,"Adventure, Action, History",Maarten Treurniet
Anno Domini 1573,5.8,"Drama, History, War",Vatroslav Mimica
Stardust 15749001,0.0,,Hou Chi-jan
"157.74 m2, the optimal flat size in the KOLDOM",0.0,,Zbyněk Baladrán
Otylie and 1580 Blots,0.0,"Animation, Comedy",Stanislav Látal
"November 16, 1581 - November 16, 2013. Eras of Mercy",0.0,Documentary,Igor Morozov
San Carlo Borromeo. Giornale di viaggio 1565-1584,0.0,,Fabiola Giancotti
"Rome, 1585",0.0,Adventure,Mario Bonnard
The Underwater Realm - Part III - 1588,6.0,,David M. Reynolds
Cinématon n°1590 : Jonas Mekas,0.0,,Gérard Courant
Imjin War - Japanese Invasion of Korea 1592-1598,0.0,"Documentary, History",Antoni Kameran
The Admiral: Roaring Currents,6.987,"War, Action, Drama, History",Kim Han-min
Imjin War - Japanese Invasion of Korea 1592-1598,0.0,"Documentary, History",Antoni Kameran
"Toccata: Day 1,599",0.0,,Marit Liang
Murder at 1600,6.062,"Action, Drama, Mystery, Thriller, Crime",Dwight H. Little
Last Order,0.0,"Animation, Horror",Jo Hang-jin
16.03,8.0,Drama,Natalia Siwicka
"Rendezvous Canada, 1606",0.0,History,Joan Henson
1607: A Nation Takes Root,0.0,"Documentary, History",Unknown
"Timescapes: A Multimedia Portrait of New York, 1609-Today",0.0,Documentary,Jake Burton
16.10.12,7.0,Drama,António Aleixo
1612: Chronicles of the Dark Time,5.0,"History, Drama",Vladimir Khotinenko
Accession of the Romanov Dynasty,0.0,,Vasiliy Goncharov
Prisoner #1616,0.0,"Drama, Fantasy",Michael Fodera
Dir en grey - Tour 16-17 From Depression To [Mode Of Vulgar],10.0,Music,Unknown
1618,5.333,"History, Drama",Luís Ismael
Ojamajo Doremi 1620's,0.0,Animation,Unknown
Thomas Morton & the Maypole of Merrymount: Disorder in the American Wilderness 1622-1647,0.0,Documentary,Jack (John) Dempsey
Yours and Mine: The Lesson of 1623,0.0,,Unknown
"[GE, 1626)",10.0,Documentary,Zhuang Leng
"Five Year Diary, Reel 19: Heat of Summer (July 16–28, 1982)",0.0,,Anne Charlotte Robertson
16:30,1.0,,Dominik Calzone
From the Labour of Baruch d'Espinoza,0.0,,Frans van de Staak
1640,0.0,,Pablo Marín
Ancient Mop Fair,0.0,Documentary,Unknown
The Battle of Naseby 1645,0.0,"Documentary, History, War",Unknown
Thomas Morton & the Maypole of Merrymount: Disorder in the American Wilderness 1622-1647,0.0,Documentary,Jack (John) Dempsey
1648: The Long Road to Peace,7.0,"Documentary, History, TV Movie",Holger Preuße
Great American Authors: Since 1650,0.0,,Unknown
England Expects: Topical Budget 165-2,0.0,,Unknown
They Came for Good: A History of the Jews in the United States: Present at the Creation 1654-1820,2.5,,Unknown
Old Norse Vikings Festival,0.0,Documentary,Unknown
16:57,0.0,Drama,Darko Berlič
1660 Vine,10.0,"Music, Comedy",Patricia McGregor
The Sino-Dutch War 1661,6.0,"War, Drama, Action",Wu Ziniu
The Flesh and the Devil,0.0,"Drama, Action, TV Movie",Nello Rossati
Fear Street: 1666,7.127,"Mystery, Horror",Leigh Janiak
Rembrandt fecit 1669,6.2,Drama,Jos Stelling
From the Labour of Baruch d'Espinoza,0.0,,Frans van de Staak
Our Naval Losses: Topical Budget 168-1,0.0,,Unknown
Detective Fuge Files- Case File: 1683A7R,0.0,"Crime, Comedy",Charlie Woodland
226-1690,0.0,,Richard P. Rogers
The True 1692 in 3D,0.0,,Unknown
Reeves And Mortimer - Live Tour Puce 1694,0.0,,Unknown
1699 · Peach Blossom Fan,9.0,,Unknown
Invasion 1700,5.8,"Action, Adventure, Drama, History",Fernando Cerchio
1701: A Blerd Story,0.0,,Matt Jennings
Deep Purple: Live in St. Petersburg 17.03.2002,0.0,Music,Unknown
Pianezza 1706 - Maria Bricca,0.0,History,Alessandro Ragona
"In the flying coffin - The day of decision in Mogadishu, on 17/10/1977",0.0,,Ingo Helm
1711. EL SETGE DE CARDONA,0.0,Documentary,Unknown
M - Bercy 17.12.2010,9.5,Music,Unknown
Barcelona 1714,0.5,"Adventure, Drama, History",Anna Bofarull
The Lost Treasure Fleet of 1715,0.0,,Unknown
17:17,0.0,,Susu Laroche
Dødsmarsjen 1719,0.0,Documentary,Unknown
Satisfaction 1720,4.8,Comedy,Henrik Ruben Genz
The Accidental Gangster,5.3,"Action, Adventure, Comedy",Yeo Kyun-dong
"Carnevale 1729, un concert à Venise",0.0,Music,Unknown
"Panter čeká v 17,30",0.0,Drama,Josef Pinkava
Bloody Angels,6.889,"Thriller, Crime, Mystery",Karin Julsrud
1734,0.0,,Joel Schlemowitz
1735 Km,8.0,"Romance, Comedy",Nghiem Dang Tuan Nguyen
Cinématon n°1736 : Raphaël Bassan,0.0,,Gérard Courant
The First,3.0,"Drama, Adventure, History",Dmitriy Suvorov
1744 White Alto,0.0,"Comedy, Drama, Crime",Senna Hegde
1745,0.0,Drama,Gordon Napier
Chasing the Deer,5.0,History,Graham Holloway
Plunkett & MacLeane,5.981,"Action, Comedy, Drama",Jake Scott
1749,1.0,History,Cielo Alzamendi
1750 Days of Turbulence,8.5,"Crime, Thriller",Sadao Nakajima
Christmas Church Parade,0.0,Documentary,Unknown
When the Redskins Rode,4.7,Western,Lew Landers
1755 - The Lisbon disaster,0.0,,Unknown
"Turdus merula Linnaeus, 1758",0.0,,João Pedro Rodrigues
Der Polizeiminister 1759-1820 Joseph Fouché,0.0,Drama,Günter Gräwert
The Conspiracy of Pontiac,4.0,,Sidney Olcott
Numéro 1765,0.0,,Cyrus Neshvad
The Czarina Commands,0.0,"History, Drama",Ivan Kavaleridze
The Czarina Commands,0.0,"History, Drama",Ivan Kavaleridze
1770,0.0,"History, Action",Ashwin Gangaraju
TEL.1717-1771,0.0,,Jo Yun-ji
The Young Goethe: 1749-1775,0.0,,Unknown
1776,6.856,"Drama, History",Peter H. Hunt
1778 Stories of Me and My Wife,6.385,Drama,Mamoru Hoshi
Merdeka 17805,0.0,"Action, Drama, War",Yukio Fuji
1781,0.0,"Drama, History",Ethan Fuirst
My Sister My Love,6.5,"Drama, History, Romance",Vilgot Sjöman
Atlante 1783,0.0,,Maria Giovanna Cicciari
Kamianets-Podilskyi 1784,0.0,Animation,Yana Reznik
Naval Cadets 1787. War,2.5,"History, Romance, Adventure",Svetlana Druzhinina
1788,0.0,"History, Drama",Maurice Failevic
1789,6.7,"Drama, History, Documentary",Ariane Mnouchkine
Egalite for All: Toussaint Louverture and the Haitian Revolution,0.0,,Noland Walker
A Violent Desire for Joy,4.5,"Drama, History",Clément Schneider
Napoleon's First Victory: The Siege of Toulon 1793,8.0,Documentary,Unknown
"Film for Invisible Ink, Case No. 142: Abbreviation for Dead Winter [Diminished by 1,794]",0.0,,David Gatten
"Médée, Opéra-comique de trois actes de Luigi Cherubini, 1797",0.0,,Krzysztof Warlikowski
1798 - Revolta dos Búzios,0.0,Documentary,Antonio Olavo
Mysteries Of Cryptid Sex #1799,0.0,,Bob Rose
1-800-Hot-Nite,4.6,"Comedy, Drama, Thriller",Nick Richey
Johann Nestroy 1801-1862,0.0,Documentary,Walter Bannert
1802: The Epopee Inhabitant of Guadeloupe,0.0,,Christian Lara
Bat For Lashes - Lowlands 18-03-2013,0.0,,Unknown
La Mort du duc d'Enghien en 1804,4.0,"Drama, History",Albert Capellani
1805 A Butterfly Drive,0.0,Drama,Renée Beaulieu
Muhammad Ali vs. Henry Cooper 18-06-1963,0.0,,Unknown
Napoleonic Wars: Battle of Friedland 1807,8.0,Documentary,Unknown
1808-09 When Sweden was split apart,0.0,Documentary,Anders Wik
Raszyn. 1809,0.0,"Documentary, History, War",Unknown
18:10,0.0,Drama,Felix Adsett
18.11 - A Code of Secrecy,0.0,Action,Mohibul Haque
1812,10.0,"History, Comedy, TV Movie",Allan Levine
1813 - Gott mit uns,8.0,Animation,Schwarwel
18-14,7.2,"Adventure, History, Mystery",Andres Puustusmaa
1815,0.0,"History, Drama",Neil Boyle
1817: A Revolução Esquecida,6.0,"Documentary, History",Tizuka Yamasaki
1818,0.0,Thriller,Rithun Sagar
1819,0.0,Documentary,Yi Chen
The 1820 Settlers,0.0,,Donald Swanson
1821 at the Cinema,0.0,"Documentary, History",Apostolos Karakasis
Fiestas de Centenario 1822 - 1922 Cima de la Libertad,4.0,Documentary,Miguel Ángel Álvarez
New York: The Country And The City (1609-1825),9.0,,Ric Burns
Exodus 1826,5.2,"History, War",Vasilis Tsikaras
Arnold Böcklin 1827-1901,0.0,,Bernhard Raith
November 1828,0.0,War,Teguh Karya
H.B. 1829 (his bad blöOd),0.0,,Andrew Kötting
AKB48 in TOKYO DOME ~1830m no Yume~,7.0,Music,Eiki Takahashi
Powstanie listopadowe. 1830 - 1831,0.0,"Documentary, TV Movie",Lucyna Smolińska
1834 – La Mémoire de Masse,0.0,,Fabien Giraud
Carlos Gomes: O Guarani - Invocação dos Aimorés,5.0,,Humberto Mauro
Guiana 1838,2.9,Drama,Rohit Jagessar
Sinofuturism (1839 - 2046 AD),8.0,,Lawrence Lek
The Great Indian Wars 1840-1890,6.0,"Documentary, Western, War",Unknown
Zum Begriff des 'kritischen Kommunismus' bei Antonio Labriola (1843-1904),0.0,,Günter Peter Straschek
Maria Callas singt 1957 Rezitativ und Arie der Elvira aus Ernani 1844 von Giuseppe Verdi,0.0,,Werner Schroeter
Railroads and Western Expansion 1845-1865,0.0,Documentary,Unknown
1847 [floating through you],0.0,"Drama, Romance",Athina Papadaki
1848,5.5,Documentary,Dino Risi
The Argonauts of California - 1849,0.0,,Henry Kabierske
1850,0.0,,Natasha Faye Jensen
"Le poète illuminé, Germain Nouveau (1851-1920)",0.0,"Documentary, History",Christian Philibert
Bomarsund 1854 - The Baltic Theatre,0.0,Documentary,Jonas Tuominen
Adomas Mickevičius. 1798 - 1855. Realybės versijos,0.0,Documentary,Raimundas Banionis
1857,0.0,"Drama, History",Mohan Sinha
Franz Boas (1858-1942),0.0,,Ted Timreck
1859,0.0,,Fred Worden
1860,6.4,"Drama, History",Alessandro Blasetti
1861,4.0,Thriller,Unknown
Bismarck 1862 - 1898,0.0,"Drama, History",Curt Blachnitzky
Powstaniec 1863,5.3,"History, Drama",Tadeusz Syka
1864,0.0,Drama,Derrick Hammond
1865,0.0,"Drama, Action",Forrest Reeder
Na'Anka 1866,0.0,,Manas Sahoo
1867,6.667,,Ken McMullen
1868,0.0,Animation,Pedro A. Vidal
"Mahatma: Life of Gandhi, 1869-1948",0.0,Documentary,Vithalbhai Jhaveri
1870,6.417,"Drama, History",Alfredo Giannetti
1871,4.8,"Drama, History",Ken McMullen
Architect Joze Plecnik: 1872-1957,0.0,Documentary,Unknown
"The Terrifying Wreck of the SS ATLANTIC (Halifax, 1873 - 150th ANNIVERSARY)",0.0,Documentary,Thomas Lynskey
"1874, la naissance de l'impressionnisme",8.0,"Documentary, History, TV Movie",Julien Johan
America on the Move 1876-2000,0.0,Documentary,Unknown
1877: The Grand Army of Starvation,0.0,Documentary,Unknown
Manchester United: The Official History 1878-2002,7.0,"Documentary, History",Unknown
Time Is a Dream: Part 1 Sweden 1859-1879,0.0,Documentary,Jan Lindkvist
18-80 Buddy,0.0,Comedy,Kittikorn Liasirikun
1881,0.0,Fantasy,Antos Sivyh
1882,10.0,,Mason Cade Packer
Canigó 1883: La llegenda pirinenca de Jacint Verdaguer,0.0,Documentary,Albert Naudín
1884,0.0,Animation,Dennis De Groot
Berlin 1885: The Division of Africa,8.0,"Documentary, Drama, History",Joël Calmettes
"Eldress Myrtidiotissa, The Ascetic Struggler of Klissoura (1886-1974)",0.0,,Unknown
Hotel Royalty Since 1887,0.0,,Peter Greenaway
1888,0.0,"Thriller, Crime, Action, Drama",Sourabh Shukla
The Karlovci Experience of 1889,7.0,"Drama, TV Movie",Miloš 'Miša' Radivojević
"A Trip Through Paris, France in The 1890s",6.7,Documentary,Louis Lumière
